Designator,Mid X,Mid Y,Rotation,Layer
0R1,37.4,-25.025,90.0,top
0R10,-23.2,-4.0,270.0,top
0R11,37.6,-19.375,270.0,top
0R12,23.2,-19.2,270.0,top
0R13,21.775,-28.6,180.0,top
0R14,-22.775,1.9,0.0,top
0R15,21.825,-31.1,180.0,top
0R16,-23.8,-20.1,90.0,top
0R17,-22.925,-25.9,0.0,top
0R18,-38.625,14.6,180.0,top
0R19,-23.0,-23.5,0.0,top
0R2,-23.0,32.3,0.0,top
0R20,-22.8,-41.3,0.0,top
0R21,23.2,18.8,90.0,top
0R22,22.425,22.2,0.0,top
0R23,21.8,-0.6,0.0,top
0R24,37.4,5.375,270.0,top
0R25,37.6,31.575,90.0,top
0R26,22.6,32.4,0.0,top
0R27,38.025,19.6,180.0,top
0R28,38.425,22.2,180.0,top
0R29,-22.8,-0.7,180.0,top
0R3,23.0,13.575,270.0,top
0R30,22.2,-11.0,0.0,top
0R31,22.225,-8.4,0.0,top
0R32,37.4,-1.4,90.0,top
0R33,38.2,14.6,180.0,top
0R34,22.2,4.4,0.0,top
0R35,38.2,17.0,180.0,top
0R36,21.8,-26.0,0.0,top
0R37,-6.47,10.81,180.0,top
0R38,-6.44,9.13,180.0,top
0R39,2.74,10.73,0.0,top
0R4,37.4,9.375,90.0,top
0R40,-42.21,56.69,135.0,top
0R41,-41.65,56.35,45.0,bottom
0R42,-40.73,58.83,45.0,bottom
0R43,65.1739,-24.1116,180.0,top
0R44,64.8839,-26.5716,180.0,top
0R45,61.03,-24.16,90.0,bottom
0R5,37.4,-32.825,90.0,top
0R6,37.8,-43.0,90.0,top
0R7,37.2,-12.425,90.0,top
0R8,22.2,-16.0,180.0,top
0R9,21.8,-33.8,180.0,top
1C1,40.73,41.103033,270.0,bottom
1C2,46.629999,47.203034,270.0,bottom
1C3,48.83,47.65,180.0,bottom
1C4,50.53,45.903033,180.0,bottom
1C5,52.83,51.303033,180.0,bottom
1C6,41.129999,47.403033,270.0,bottom
